"","Date","Temperature","Celsius"
"383",1986-10-01,"ATMP",6.8
"384",1986-10-02,"ATMP",6.3
"385",1986-10-03,"ATMP",4.4
"386",1986-10-04,"ATMP",5.2
"387",1986-10-05,"ATMP",5.8
"388",1986-10-06,"ATMP",6.5
"389",1986-10-07,"ATMP",6.3
"390",1986-10-08,"ATMP",4.7
"391",1986-10-09,"ATMP",4.3
"392",1986-10-10,"ATMP",3.2
"393",1986-10-11,"ATMP",3.8
"394",1986-10-12,"ATMP",3.3
"395",1986-10-13,"ATMP",4
"396",1986-10-14,"ATMP",6.1
"397",1986-10-15,"ATMP",4.3
"398",1986-10-16,"ATMP",3.6
"399",1986-10-17,"ATMP",2
"400",1986-10-18,"ATMP",5.4
"401",1986-10-19,"ATMP",4.9
"402",1986-10-20,"ATMP",6
"403",1986-10-21,"ATMP",4.6
"404",1986-10-22,"ATMP",3.4
"405",1986-10-23,"ATMP",2.2
"406",1986-10-24,"ATMP",6.7
"407",1986-10-25,"ATMP",5.6
"408",1986-10-26,"ATMP",5.7
"409",1986-10-27,"ATMP",4.6
"410",1986-10-28,"ATMP",3.5
"411",1986-10-29,"ATMP",2.3
"412",1986-10-30,"ATMP",3.6
"413",1986-10-31,"ATMP",4.7
"414",1986-11-01,"ATMP",4.7
"415",1986-11-02,"ATMP",3.5
"416",1986-11-03,"ATMP",5.3
"417",1986-11-04,"ATMP",4.4
"418",1986-11-05,"ATMP",5.1
"419",1986-11-06,"ATMP",4.6
"420",1986-11-07,"ATMP",5.2
"421",1986-11-08,"ATMP",5.5
"422",1986-11-09,"ATMP",3.9
"423",1986-11-10,"ATMP",5.7
"424",1986-11-11,"ATMP",3.8
"425",1986-11-12,"ATMP",5.6
"426",1986-11-13,"ATMP",5.5
"427",1986-11-14,"ATMP",5.4
"428",1986-11-15,"ATMP",4.3
"429",1986-11-16,"ATMP",5
"430",1986-11-17,"ATMP",3.1
"431",1986-11-18,"ATMP",3.5
"432",1986-11-19,"ATMP",2.4
"433",1986-11-20,"ATMP",2.4
"434",1986-11-21,"ATMP",1.3
"435",1986-11-22,"ATMP",0.1
"436",1986-11-23,"ATMP",-1.3
"437",1986-11-24,"ATMP",-0.6
"438",1986-11-25,"ATMP",0.8
